AIM	AOL Instant Messenger
lhs	lets have sex
lhu	Lord help us
lig	life is good
lis	life is short
liu	livin it up
lm	love me
lma	leave me alone
lmao	laughing my a** off
lmfao	laughing my fat a** off
lmfao	laughing my friggin a** off
lmirl	let-s meet in real life
lmk	let me know
lms	like my status 
lmso	laughing my socks off
lns	laughing non stop
lol	laugh out loud
lol	laugh out love
lol	laughing out loud
lol	lots of laughs
lol	lots of love
lolv	lots of love
lotza	lots of
lro	lets rock on
lshih	laughing so hard it hurts
lshilmsadmt	laughing so hard I lost my sombraro and dropped my taco
lshmbh	laughing so hard my belly hurts
ltns	long time no see
ltr	later
lts	laughing to self
luv	love
luv ya	love you
luva	lover
luwamh	love you with all of my heart
lvu	I love you
ly	love you
ly4e	love you forever
lyk	like
lyl	love you lots
lylab	love you like a brother
lylas	love you like a sister
m	am
m/b	my bad
m2f	more to follow
m8	mate
mayb l8ter	maybe later
mbn	must be nice
mdc	my dad calls
me2	me too
meanna	mean to
mfc	my friend calls
mgis	money growth info systems
mhib2u	my heart is belongs to you
mia	missing in action
min	minute
mks	makes
ml	more later
mmc	my mom calls
mne	meanie
mob	mobile
mos	mom over shoulder 
msg	message
mtf	more to follow
mtg	meeting
mttskg	multitasking
mttskr	multi-tasker
mual	missing you a lot
mv	music video
mwlb	made with love by
myob	mind your own business
myodb	mind your own darn business
mys	miss you so
n	and
n	in
n/c	no comment
n/m	not much
n/w	no way
n/y	not yet
n1	none
n2m	not too much
n2n	nice to know
n8	night
nadt	not a darn thing
nbd	no big deal
nbsb	no boyfriend since birth
nce1	nice one
ndbwy	nice doing business with you
ne	any
ne1	anyone
nec	not even close
nehow	anyhow
nemore	anymore
nething	anything
neway	anyway
newbie	novice
ngh	not gonna happen
ngsb	no girlfriend since birth
nh	nice hand
nhot	never heard of that
ni	no idea
nifoc	naked in front of computer
nimu	no I meant u 
nimy	no I meant you
nitm	not in the mood
nk	no kidding
nl	nose laugh
nm	never mind
nmjc	nothing much just chillin-
nn	non
no1	no one
non	now or never 
noob	newbie (novice)
np	no
np	no problem
np	not possible
npa	no permanent address
nrn	no reply necessary
nt	not
ntcu	nice to see you
nte	not that easy
ntmu	nice to meet you
nty	no thank you
nub	noob (in a condescending way)
nuffin	nothing
nutn	nothing
nuttn	nothing
nv	envy
nvm	never mind
nvng	nothing ventured, nothing gained
nvr	never
nw	network
nw	no way
ny	not yet
nyt	night
oc	of course
oic	oh, I see
oinyw	oh, I know you will
oj	orange juice
okc	oh..ok cool
ol	old lady
ol	online
om	old man
omfg	oh my friggin gosh
omg	oh my gosh
omgco	oh my gosh captain obvious
omigosh	oh my gosh
oob	out of body
ook	oh, okay
oom	out of mind
op	out of place
osm	awesome
oth	on the other hand
ott	over the top
ottomh	off the top of my head
outta	out of
pac	parents are coming
paw	parents are watching
pcm	please call me
pdnd	please do not disturb
pds	please don-t shoot
pfm	please forgive me
pic	picture
pj	private joke
plmk	please let me know
plos	parent looking over shoulder
pls	please
plz	please
pm	private message
pmp	pee(d) my pants
poahf	put on a happy face
poh	parents over head
pos	parent over shoulder
ppl	people
ppr	paper
prb	probably
prl	parents are listening
prob	problem
probly	probably
prolly	probably
pttmiab	please talk to me, I am bored
puter	computer
pwn	pawn
qsed	quick simple easy done
qt	cutie
ques	question
r	are
r2u	roses to you
rbay	right back at you
rem	remember
rgr	roger (as in roger that)
rlly	really
rm	room
rnt	aren-t
rofbnl	rolling on the floor but not laughing
rofl	rolling on the floor laughing
roflay	rolling on thefloor laughing at you
roflmao	rolling on the floor laughing my a** off
roflol	rolling on the floor laughing out loud
rofluts	rolling on the floor laughing, unable to speak
roflwtime	rolling on the floor laughing with tears in my eyes
rofmo	rolling on the floor making out
rotfl	rolling on the 
rotflol	rolling on the floor laughing out loud
rox	rocks
rt	real time
rtfm	read the friggin manual
rtm	read the manual
rtsm	read the stupid manual
rufre	are u free
rur	are you ready?
rut	are you there
rxmysx	rocks my socks
s	smile
s2pid	stupid
s^	(sup) what-s up
sa	smart a**
scoop	scoop
sds	sweet dreams
sec	second
sete	smiling ear to ear
sfl	sister for life
shid	slap(s)(ping)(ped) head in disgust
shsmh	sitting here shaking my head
si	sure is
sk8	skate
sk8ing	skating
skl	school
skool	school
slafomah	something like a fan or maybe a hater
slr	sorry late reply
sm	same
smf	so much fun
smh	shaking my head
smhof	set my heart on fire
smile	:-)
sn	screen name
snafu	situation normal: all fouled up
snert	snot nosed egotistical rude teenager
so	significant other
sol	s*** out of luck
some1	someone
sorta	sort of
sos	save our souls
sos	someones on my shoulder 
sot	short of/on time
sot	sticking out tongue
sotmg	short of/on time, must go
soz	sorry
spoz	suppose
spoz2	supposed to
spoz2b	supposed to be
sry	sorry
ss	so sorry
st	stop that
stbu	sucks to be you
stdng	studing
stfu	shut the frick up
sth	something
sto	sticking tongue out
str8	strait
sttgd	im so tired I think im gona die
stw	scared to watch
su	shut up
suakm	shut up and kiss me
sul	see you later
sup	what-s up
sux	sucks
swag	scientific wild a** guess
swak	sealed with a kiss
swl	screaming with laughter
sxy	sexy
sy	see ya
syah	sending you a hug
syak	sending you a kiss
sys	see you soon
syt	sweet young thing
t^t	tsk tsk
ta	thanks a lot
ta	thanks again
ta	to
tat	that
taw	take a walk
tbh	to be honest
tc	take care
tc4fu	too cool for you
tcfu	too cool for you
tcoy	take care of yourself
temme	tell me
tgif	Thank God it-s Friday
tgis	thank God it-s Saturday
thanx	thanks
thatz	that-s
thnx	thanks
tho	though
thx	thanks
tia	thanks in advance
tlc	tender loving care
tmb	tell me i-m beautiful
tmi	too much information
tml	text me later
tmp	tell me please
tnf	totally not funny
tnq	thank you
tnx	thanks
toy	thinking of you
tp	toilet paper
tt4n	ta ta for now
ttc	text the cell
ttfg	ta ta for good
ttfn	ta ta for now
ttly	totally
ttme	talk to me
ttp	talking to people
tttyt	ta ta to you too
ttultr	talk to you later 
ttyl	talk to you later
ttyn	talk to you never
ttys	talk to you soon
turt	take your time
twb4u	that was before you
tweenglish	a language of teenagers that only they can understand
tx	thanksFONT>
ty	thank you
tyt	take your time
tyvm	thank you very much
u	you
u 2	you too
u2	you too
u-d	you-d
uaa	you are an angel
ud	you-d
udk	you don-t know
ull	you-ll
unn	ur not nice
uno	you know
ur	you-re
ur	your
uraimadrm	You are always in my dream
urk	you rock
urs	yours
urself	yourself
uuyone	everyone
uwtf	you with the face
vid	video
vl	will
vmt	very many thanks
vn	voice note
vv	vice versa
w-end	weekend
w/	with
w/e	whatever
w/o	without
w2g	way to go
w8	wait
wadup	what-s up
wag	wild a** guess
wah	what
wanna	want to
wass^	what-s up
wassup	what-s up
wat	what
watcha	what are you
watteva	whatever
wau	who asked you
way	what about you
wayd	what are you doing
waz^	what-s up
wazzup	what-s up
wb	welcome back
wboc	welcome back on cam
wbu	what about you
wby	what bout you
wcul	will catch you later
wdp	well done partner
wdys	what did you say
wdywtta	what do you want to talk about
weg	wicked evil grin
wen	when
whatcha	what are you
whatz	what-s
whoz	who is
wid	with
wie	with immediate effect
wkend	weekend
wkf	well known fact
wlc	welcome
wnwu	what-s new with you
woc	welcome on cam
wos	wife over shoulder
wru	who are you
wt	what
wtc	what the crap
wtf	what the frick
wtg	way to go
wth	what the heck
wtmi	way too much information
wtr	what-s the rush?
wtrdoin	what are you doing
wubol	will you be on later
wubu2	what you been up 2
wubu2	what you been up to?
wud	what are you doing
wul2	what you listening to?
wum	why you mad
wut	what
wuteva	whatever
wuu2	what you up to
wuu2	what you up to?
wuwtb	what (do) you want to talk about
wuz	was
wwicu	when will I see you
wwtmi	way way to much info
wy	with you
xcuz	excuse
xlnt	excellent
xmas	Christmas 
xoxoxo	hugs and kises
xqz	excuse
xx	hug and kiss
xyz	examine your zipper
YIM	Yahoo Instant Messenger
y	why
y/o	years old
ya	you
yab	you are beautiful
yabbys	you are beautiful but you suck
yanno	you know?
yasvmw	you are so very much welcome
ybs	you-ll be sorry
ycttscy	you can-t take this serious, can you
ydk	you don-t know
yep	yes
yg	young gentleman
yg	young gentlemen
ygtbk	you-ve got to be kidding
yl	young lady
ym	young man
ymw	your most welcome
yo	hey
yo	hi
yolo	you only live once
yqw	your quite welcome
yr	year
yrs	years
yt	you there
yu	you
yuh	you
yup	yes
yup	yes understood proceed
yvw	you-re very welcome
yw	you-re welcome
ziojkicc	zipper is open just kidding I cant see
zzzzz	sleeping
*&lt;[:{)	Santa
:-|	ambivalent
O:-)	angelic
&gt; &gt; :-(	angry
:@	angry and swearing
__/__	applause
|-i	asleep
(::()::)	band aide
:D	big smile
:-{}	blowing a kiss
\-O	bored
:-C	bummed out
|c|	can of coke
|p|	can of pepsi
:( )	can-t stop talking
|*-*|	cassette tape
&lt;&gt;	clap
:*)	clowning
:-	crying
:--(	crying sadly
:--)	crying with joy
\_/7	cup (coffee/tea)
:-9	delicious, yummy
:-&gt;	devilish
;-&gt;	devilish wink
&quot;8*#	drunk
:*)	drunk
(//_-)	emo
d//_-b	emo with headset
:-6	exhausted, wiped out
&gt; &gt;&lt;&lt;*&gt;	fish/fishy
&gt;&gt; &gt;&gt;&lt;)))`&gt;	fish/fishy
_-_-_-_-(*)	flying tomato
:-&gt;*&lt;-:	french kiss
:(	frown
\~/	full glass
\_/	glass (drink)
&lt;3	heart
(((((name)))))	hug (cyber hug)
(( )):**	hugs and kisses
:-i	indifferent
:-)*(-:	kiss
XD	laughing
XO	laughing smily, mouth wide open
(Y)	liking
:-#	lips are sealed
d-_-b	listening to music
:~/	mixed up
:-O	mouth open (surprised)
(_)	mug (coffee)
@[_]~~	mug of hot coffee or tea
~~!!~~	no joke?
****	popcorn
&amp;&amp;&amp;&amp;	pretzels
&gt;:@	really angry and swearing
---/--@	rose
@--)--)(--	rose
:-(	sad
:C 	sad
:-@	screaming
8O	shocked
:O	shocked
O.O	shocked or suprised
:-)	smile
XO	smile
=)	smile 
:)	smiling face
:{}::	sneezing
:-P	sticking out tongue
:o 	surprised
:-&amp;	tongue tied
:-C 	unbelievable
:-\	undecided
;-)	wink
|-O	yawning
&amp;&amp;	and
**poof**	bye
*G*	giggle
..........	speechless
10Q	thank you
10qs	thanks
10sion	tension
10son	tension
2	to
2-9t	tonight
2c4skool	to cool for school
2c4u	to cool for you
2cul	to cool
2cute	too cute
2d4	to die for
2day	today
2getha	together
2gether	together
2gether4eva	together forever
2l8	too late
2moro	tomorrow
2morrow	tomorrow
2moz	tomorrow
2mrw	tomorrow
2nite	tonight
4	for
411	information
4e	forever
4eva	forever
4get	forget
4rm	from
4u2c	for you to see
4va	forever
4yeo	for your eyes only
59	fine
5n	fine
8	ate
911	emergency
9t	night
&lt;3	love (heart)
&lt;GRRR&gt;	I-m so angry
?	huh?
?	what?
?4u	question for you
?dmn?	what do you mean?
@	at
^5	high five
